Attack,Attack_Cost,Attack_Perm,AttackSpeed,AttackSpeed_Cost,AttackSpeed_Perm,CriticalChance,CriticalChance_Cost,CriticalChance_Perm,CriticalDamage,CriticalDamage_Cost,CriticalDamage_Perm,AttackRange,AttackRange_Cost,AttackRange_Perm,Health,Health_Cost,Health_Perm,Regeneration,Regeneration_Cost,Regeneration_Perm,Defense,Defense_Cost,Defense_Perm,Reflection,Reflection_Cost,Reflection_Perm,LifeSteal,LifeSteal_Cost,LifeSteal_Perm,GoldMultiplier,GoldMultiplier_Cost,GoldMultiplier_Perm,GoldPerWave,GoldPerWave_Cost,GoldPerWave_Perm,CoinMultiplier,CoinMultiplier_Cost,CoinMultiplier_Perm,CoinPerWave,CoinPerWave_Cost,CoinPerWave_Perm,,,
2732506,248301687,15244051278,,,,,,,,,,,,,4703757497,248301687,15244051278,574276,248301687,15244051278,259710519,694036841,15244051298,,,,,,,,,,,,,,,,,,,,,
2733424,248424867,15251734882,,,,,,,,,,,,,4706134236,248424867,15251734882,574469,248424867,15251734882,259841758,694385888,15251734902,,,,,,,,,,,,,,,,,,,,,
2734342,248548088,15259421068,,,,,,,,,,,,,4708511776,248548088,15259421068,574663,248548088,15259421068,259973041,694735052,15259421088,,,,,,,,,,,,,,,,,,,,,
2735261,248671349,15267109835,,,,,,,,,,,,,4710890117,248671349,15267109835,574857,248671349,15267109835,260104368,695084333,15267109855,,,,,,,,,,,,,,,,,,,,,
2736179,248794652,15274801185,,,,,,,,,,,,,4713269258,248794652,15274801185,575050,248794652,15274801185,260235740,695433731,15274801205,,,,,,,,,,,,,,,,,,,,,
2737098,248917995,15282495117,,,,,,,,,,,,,4715649200,248917995,15282495117,575244,248917995,15282495117,260367156,695783247,15282495137,,,,,,,,,,,,,,,,,,,,,
2738016,249041379,15290191633,,,,,,,,,,,,,4718029944,249041379,15290191633,575438,249041379,15290191633,260498616,696132879,15290191653,,,,,,,,,,,,,,,,,,,,,
2738935,249164803,15297890732,,,,,,,,,,,,,4720411488,249164803,15297890732,575631,249164803,15297890732,260630120,696482628,15297890752,,,,,,,,,,,,,,,,,,,,,
2739854,249288268,15305592415,,,,,,,,,,,,,4722793834,249288268,15305592415,575825,249288268,15305592415,260761668,696832495,15305592435,,,,,,,,,,,,,,,,,,,,,
2740773,249411774,15313296683,,,,,,,,,,,,,4725176981,249411774,15313296683,576019,249411774,15313296683,260893261,697182479,15313296703,,,,,,,,,,,,,,,,,,,,,
2741693,249535321,15321003535,,,,,,,,,,,,,4727560930,249535321,15321003535,576213,249535321,15321003535,261024898,697532579,15321003555,,,,,,,,,,,,,,,,,,,,,
2742612,249658909,15328712973,,,,,,,,,,,,,4729945680,249658909,15328712973,576407,249658909,15328712973,261156580,697882797,15328712993,,,,,,,,,,,,,,,,,,,,,
2743532,249782537,15336424997,,,,,,,,,,,,,4732331232,249782537,15336424997,576601,249782537,15336424997,261288305,698233133,15336425017,,,,,,,,,,,,,,,,,,,,,
2744452,249906206,15344139607,,,,,,,,,,,,,4734717587,249906206,15344139607,576794,249906206,15344139607,261420075,698583585,15344139627,,,,,,,,,,,,,,,,,,,,,
2745371,250029916,15351856804,,,,,,,,,,,,,4737104743,250029916,15351856804,576988,250029916,15351856804,261551889,698934155,15351856824,,,,,,,,,,,,,,,,,,,,,
2746292,250153667,15359576587,,,,,,,,,,,,,4739492702,250153667,15359576587,577182,250153667,15359576587,261683748,699284842,15359576607,,,,,,,,,,,,,,,,,,,,,
2747212,250277459,15367298959,,,,,,,,,,,,,4741881463,250277459,15367298959,577376,250277459,15367298959,261815651,699635646,15367298979,,,,,,,,,,,,,,,,,,,,,
2748132,250401291,15375023918,,,,,,,,,,,,,4744271026,250401291,15375023918,577571,250401291,15375023918,261947598,699986567,15375023938,,,,,,,,,,,,,,,,,,,,,
2749053,250525164,15382751465,,,,,,,,,,,,,4746661392,250525164,15382751465,577765,250525164,15382751465,262079589,700337606,15382751485,,,,,,,,,,,,,,,,,,,,,
2749973,250649079,15390481602,,,,,,,,,,,,,4749052561,250649079,15390481602,577959,250649079,15390481602,262211625,700688762,15390481622,,,,,,,,,,,,,,,,,,,,,
2750894,250773033,15398214327,,,,,,,,,,,,,4751444533,250773033,15398214327,578153,250773033,15398214327,262343705,701040036,15398214347,,,,,,,,,,,,,,,,,,,,,
2751815,250897029,15405949643,,,,,,,,,,,,,4753837308,250897029,15405949643,578347,250897029,15405949643,262475830,701391427,15405949663,,,,,,,,,,,,,,,,,,,,,
2752737,251021066,15413687548,,,,,,,,,,,,,4756230886,251021066,15413687548,578541,251021066,15413687548,262607999,701742935,15413687568,,,,,,,,,,,,,,,,,,,,,
2753658,251145143,15421428044,,,,,,,,,,,,,4758625267,251145143,15421428044,578736,251145143,15421428044,262740212,702094561,15421428064,,,,,,,,,,,,,,,,,,,,,
2754579,251269262,15429171131,,,,,,,,,,,,,4761020452,251269262,15429171131,578930,251269262,15429171131,262872469,702446304,15429171151,,,,,,,,,,,,,,,,,,,,,
2755501,251393421,15436916809,,,,,,,,,,,,,4763416440,251393421,15436916809,579124,251393421,15436916809,263004771,702798165,15436916829,,,,,,,,,,,,,,,,,,,,,
2756423,251517621,15444665079,,,,,,,,,,,,,4765813232,251517621,15444665079,579319,251517621,15444665079,263137118,703150143,15444665099,,,,,,,,,,,,,,,,,,,,,
2757345,251641862,15452415942,,,,,,,,,,,,,4768210828,251641862,15452415942,579513,251641862,15452415942,263269508,703502238,15452415962,,,,,,,,,,,,,,,,,,,,,
2758267,251766144,15460169397,,,,,,,,,,,,,4770609228,251766144,15460169397,579707,251766144,15460169397,263401944,703854452,15460169417,,,,,,,,,,,,,,,,,,,,,
2759189,251890467,15467925446,,,,,,,,,,,,,4773008433,251890467,15467925446,579902,251890467,15467925446,263534423,704206782,15467925466,,,,,,,,,,,,,,,,,,,,,
2760111,252014830,15475684088,,,,,,,,,,,,,4775408441,252014830,15475684088,580096,252014830,15475684088,263666947,704559230,15475684108,,,,,,,,,,,,,,,,,,,,,
2761034,252139235,15483445324,,,,,,,,,,,,,4777809254,252139235,15483445324,580291,252139235,15483445324,263799515,704911796,15483445344,,,,,,,,,,,,,,,,,,,,,
2761957,252263680,15491209154,,,,,,,,,,,,,4780210871,252263680,15491209154,580485,252263680,15491209154,263932128,705264480,15491209174,,,,,,,,,,,,,,,,,,,,,
2762880,252388167,15498975579,,,,,,,,,,,,,4782613293,252388167,15498975579,580680,252388167,15498975579,264064785,705617281,15498975599,,,,,,,,,,,,,,,,,,,,,
2763803,252512694,15506744600,,,,,,,,,,,,,4785016520,252512694,15506744600,580875,252512694,15506744600,264197487,705970199,15506744620,,,,,,,,,,,,,,,,,,,,,
2764726,252637262,15514516216,,,,,,,,,,,,,4787420551,252637262,15514516216,581069,252637262,15514516216,264330233,706323236,15514516236,,,,,,,,,,,,,,,,,,,,,
2765649,252761872,15522290429,,,,,,,,,,,,,4789825388,252761872,15522290429,581264,252761872,15522290429,264463024,706676390,15522290449,,,,,,,,,,,,,,,,,,,,,
2766573,252886522,15530067238,,,,,,,,,,,,,4792231030,252886522,15530067238,581459,252886522,15530067238,264595859,707029661,15530067258,,,,,,,,,,,,,,,,,,,,,
2767496,253011213,15537846644,,,,,,,,,,,,,4794637477,253011213,15537846644,581654,253011213,15537846644,264728738,707383051,15537846664,,,,,,,,,,,,,,,,,,,,,
2768420,253135945,15545628648,,,,,,,,,,,,,4797044730,253135945,15545628648,581848,253135945,15545628648,264861662,707736558,15545628668,,,,,,,,,,,,,,,,,,,,,
2769344,253260718,15553413250,,,,,,,,,,,,,4799452789,253260718,15553413250,582043,253260718,15553413250,264994631,708090183,15553413270,,,,,,,,,,,,,,,,,,,,,
2770268,253385532,15561200450,,,,,,,,,,,,,4801861653,253385532,15561200450,582238,253385532,15561200450,265127644,708443925,15561200470,,,,,,,,,,,,,,,,,,,,,
2771192,253510387,15568990249,,,,,,,,,,,,,4804271323,253510387,15568990249,582433,253510387,15568990249,265260701,708797786,15568990269,,,,,,,,,,,,,,,,,,,,,
2772117,253635283,15576782647,,,,,,,,,,,,,4806681799,253635283,15576782647,582628,253635283,15576782647,265393803,709151764,15576782667,,,,,,,,,,,,,,,,,,,,,
2773041,253760221,15584577644,,,,,,,,,,,,,4809093081,253760221,15584577644,582823,253760221,15584577644,265526950,709505860,15584577664,,,,,,,,,,,,,,,,,,,,,
2773966,253885199,15592375242,,,,,,,,,,,,,4811505169,253885199,15592375242,583018,253885199,15592375242,265660141,709860074,15592375262,,,,,,,,,,,,,,,,,,,,,
2774891,254010218,15600175440,,,,,,,,,,,,,4813918064,254010218,15600175440,583213,254010218,15600175440,265793376,710214406,15600175460,,,,,,,,,,,,,,,,,,,,,
2775816,254135278,15607978240,,,,,,,,,,,,,4816331766,254135278,15607978240,583408,254135278,15607978240,265926656,710568855,15607978260,,,,,,,,,,,,,,,,,,,,,
2776741,254260379,15615783640,,,,,,,,,,,,,4818746274,254260379,15615783640,583603,254260379,15615783640,266059981,710923423,15615783660,,,,,,,,,,,,,,,,,,,,,
2777666,254385521,15623591643,,,,,,,,,,,,,4821161589,254385521,15623591643,583798,254385521,15623591643,266193350,711278109,15623591663,,,,,,,,,,,,,,,,,,,,,
2778592,254510704,15631402247,,,,,,,,,,,,,4823577710,254510704,15631402247,583993,254510704,15631402247,266326764,711632912,15631402267,,,,,,,,,,,,,,,,,,,,,
2779518,254635929,15639215455,,,,,,,,,,,,,4825994639,254635929,15639215455,584188,254635929,15639215455,266460222,711987833,15639215475,,,,,,,,,,,,,,,,,,,,,
2780443,254761194,15647031265,,,,,,,,,,,,,4828412376,254761194,15647031265,584383,254761194,15647031265,266593725,712342873,15647031285,,,,,,,,,,,,,,,,,,,,,
2781369,254886500,15654849679,,,,,,,,,,,,,4830830919,254886500,15654849679,584579,254886500,15654849679,266727273,712698030,15654849699,,,,,,,,,,,,,,,,,,,,,
2782295,255011848,15662670698,,,,,,,,,,,,,4833250270,255011848,15662670698,584774,255011848,15662670698,266860865,713053306,15662670718,,,,,,,,,,,,,,,,,,,,,
2783222,255137236,15670494320,,,,,,,,,,,,,4835670429,255137236,15670494320,584969,255137236,15670494320,266994502,713408699,15670494340,,,,,,,,,,,,,,,,,,,,,
2784148,255262666,15678320547,,,,,,,,,,,,,4838091395,255262666,15678320547,585165,255262666,15678320547,267128183,713764211,15678320567,,,,,,,,,,,,,,,,,,,,,
2785075,255388136,15686149380,,,,,,,,,,,,,4840513170,255388136,15686149380,585360,255388136,15686149380,267261909,714119840,15686149400,,,,,,,,,,,,,,,,,,,,,
2786001,255513648,15693980818,,,,,,,,,,,,,4842935752,255513648,15693980818,585555,255513648,15693980818,267395679,714475588,15693980838,,,,,,,,,,,,,,,,,,,,,
2786928,255639201,15701814863,,,,,,,,,,,,,4845359143,255639201,15701814863,585751,255639201,15701814863,267529495,714831454,15701814883,,,,,,,,,,,,,,,,,,,,,
2787855,255764795,15709651514,,,,,,,,,,,,,4847783342,255764795,15709651514,585946,255764795,15709651514,267663354,715187438,15709651534,,,,,,,,,,,,,,,,,,,,,
2788782,255890430,15717490772,,,,,,,,,,,,,4850208349,255890430,15717490772,586142,255890430,15717490772,267797259,715543540,15717490792,,,,,,,,,,,,,,,,,,,,,
2789710,256016106,15725332638,,,,,,,,,,,,,4852634165,256016106,15725332638,586337,256016106,15725332638,267931208,715899761,15725332658,,,,,,,,,,,,,,,,,,,,,
2790637,256141824,15733177111,,,,,,,,,,,,,4855060789,256141824,15733177111,586533,256141824,15733177111,268065202,716256099,15733177131,,,,,,,,,,,,,,,,,,,,,
2791565,256267582,15741024193,,,,,,,,,,,,,4857488223,256267582,15741024193,586729,256267582,15741024193,268199240,716612556,15741024213,,,,,,,,,,,,,,,,,,,,,
2792493,256393382,15748873884,,,,,,,,,,,,,4859916465,256393382,15748873884,586924,256393382,15748873884,268333323,716969131,15748873904,,,,,,,,,,,,,,,,,,,,,
2793421,256519223,15756726184,,,,,,,,,,,,,4862345517,256519223,15756726184,587120,256519223,15756726184,268467451,717325824,15756726204,,,,,,,,,,,,,,,,,,,,,
2794349,256645105,15764581093,,,,,,,,,,,,,4864775378,256645105,15764581093,587316,256645105,15764581093,268601624,717682636,15764581113,,,,,,,,,,,,,,,,,,,,,
2795277,256771028,15772438613,,,,,,,,,,,,,4867206048,256771028,15772438613,587511,256771028,15772438613,268735841,718039566,15772438633,,,,,,,,,,,,,,,,,,,,,
2796205,256896992,15780298742,,,,,,,,,,,,,4869637527,256896992,15780298742,587707,256896992,15780298742,268870103,718396614,15780298762,,,,,,,,,,,,,,,,,,,,,
2797134,257022997,15788161483,,,,,,,,,,,,,4872069817,257022997,15788161483,587903,257022997,15788161483,269004409,718753781,15788161503,,,,,,,,,,,,,,,,,,,,,
2798063,257149044,15796026836,,,,,,,,,,,,,4874502916,257149044,15796026836,588099,257149044,15796026836,269138760,719111066,15796026856,,,,,,,,,,,,,,,,,,,,,
2798992,257275132,15803894800,,,,,,,,,,,,,4876936825,257275132,15803894800,588294,257275132,15803894800,269273157,719468469,15803894820,,,,,,,,,,,,,,,,,,,,,
2799921,257401261,15811765376,,,,,,,,,,,,,4879371544,257401261,15811765376,588490,257401261,15811765376,269407597,719825991,15811765396,,,,,,,,,,,,,,,,,,,,,
2800850,257527431,15819638565,,,,,,,,,,,,,4881807073,257527431,15819638565,588686,257527431,15819638565,269542083,720183631,15819638585,,,,,,,,,,,,,,,,,,,,,
2801779,257653642,15827514367,,,,,,,,,,,,,4884243413,257653642,15827514367,588882,257653642,15827514367,269676613,720541389,15827514387,,,,,,,,,,,,,,,,,,,,,
2802709,257779895,15835392783,,,,,,,,,,,,,4886680563,257779895,15835392783,589078,257779895,15835392783,269811188,720899266,15835392803,,,,,,,,,,,,,,,,,,,,,
2803638,257906189,15843273812,,,,,,,,,,,,,4889118524,257906189,15843273812,589274,257906189,15843273812,269945808,721257262,15843273832,,,,,,,,,,,,,,,,,,,,,
2804568,258032524,15851157456,,,,,,,,,,,,,4891557295,258032524,15851157456,589470,258032524,15851157456,270080472,721615376,15851157476,,,,,,,,,,,,,,,,,,,,,
2805498,258158900,15859043715,,,,,,,,,,,,,4893996877,258158900,15859043715,589666,258158900,15859043715,270215182,721973608,15859043735,,,,,,,,,,,,,,,,,,,,,
2806428,258285318,15866932589,,,,,,,,,,,,,4896437271,258285318,15866932589,589863,258285318,15866932589,270349936,722331959,15866932609,,,,,,,,,,,,,,,,,,,,,
2807358,258411777,15874824079,,,,,,,,,,,,,4898878475,258411777,15874824079,590059,258411777,15874824079,270484735,722690429,15874824099,,,,,,,,,,,,,,,,,,,,,
2808289,258538277,15882718184,,,,,,,,,,,,,4901320491,258538277,15882718184,590255,258538277,15882718184,270619578,723049017,15882718204,,,,,,,,,,,,,,,,,,,,,
2809219,258664818,15890614907,,,,,,,,,,,,,4903763318,258664818,15890614907,590451,258664818,15890614907,270754467,723407724,15890614927,,,,,,,,,,,,,,,,,,,,,
2810150,258791401,15898514246,,,,,,,,,,,,,4906206956,258791401,15898514246,590647,258791401,15898514246,270889400,723766549,15898514266,,,,,,,,,,,,,,,,,,,,,
2811081,258918025,15906416203,,,,,,,,,,,,,4908651407,258918025,15906416203,590844,258918025,15906416203,271024378,724125493,15906416223,,,,,,,,,,,,,,,,,,,,,
2812012,259044690,15914320778,,,,,,,,,,,,,4911096669,259044690,15914320778,591040,259044690,15914320778,271159401,724484556,15914320798,,,,,,,,,,,,,,,,,,,,,
2812943,259171396,15922227971,,,,,,,,,,,,,4913542743,259171396,15922227971,591236,259171396,15922227971,271294469,724843737,15922227991,,,,,,,,,,,,,,,,,,,,,
2813875,259298144,15930137783,,,,,,,,,,,,,4915989629,259298144,15930137783,591433,259298144,15930137783,271429582,725203037,15930137803,,,,,,,,,,,,,,,,,,,,,
2814806,259424933,15938050214,,,,,,,,,,,,,4918437327,259424933,15938050214,591629,259424933,15938050214,271564739,725562456,15938050234,,,,,,,,,,,,,,,,,,,,,
2815738,259551763,15945965264,,,,,,,,,,,,,4920885838,259551763,15945965264,591826,259551763,15945965264,271699942,725921993,15945965284,,,,,,,,,,,,,,,,,,,,,
2816670,259678635,15953882935,,,,,,,,,,,,,4923335161,259678635,15953882935,592022,259678635,15953882935,271835189,726281650,15953882955,,,,,,,,,,,,,,,,,,,,,
2817602,259805548,15961803226,,,,,,,,,,,,,4925785297,259805548,15961803226,592219,259805548,15961803226,271970481,726641425,15961803246,,,,,,,,,,,,,,,,,,,,,
2818534,259932502,15969726137,,,,,,,,,,,,,4928236245,259932502,15969726137,592415,259932502,15969726137,272105818,727001318,15969726157,,,,,,,,,,,,,,,,,,,,,
2819466,260059498,15977651671,,,,,,,,,,,,,4930688007,260059498,15977651671,592612,260059498,15977651671,272241200,727361331,15977651691,,,,,,,,,,,,,,,,,,,,,
2820398,260186535,15985579826,,,,,,,,,,,,,4933140581,260186535,15985579826,592808,260186535,15985579826,272376627,727721463,15985579846,,,,,,,,,,,,,,,,,,,,,
2821331,260313613,15993510603,,,,,,,,,,,,,4935593969,260313613,15993510603,593005,260313613,15993510603,272512099,728081713,15993510623,,,,,,,,,,,,,,,,,,,,,
2822264,260440733,16001444003,,,,,,,,,,,,,4938048170,260440733,16001444003,593202,260440733,16001444003,272647615,728442082,16001444023,,,,,,,,,,,,,,,,,,,,,
2823197,260567894,16009380026,,,,,,,,,,,,,4940503184,260567894,16009380026,593398,260567894,16009380026,272783177,728802570,16009380046,,,,,,,,,,,,,,,,,,,,,
2824130,260695097,16017318672,,,,,,,,,,,,,4942959012,260695097,16017318672,593595,260695097,16017318672,272918783,729163177,16017318692,,,,,,,,,,,,,,,,,,,,,
2825063,260822340,16025259942,,,,,,,,,,,,,4945415654,260822340,16025259942,593792,260822340,16025259942,273054435,729523903,16025259962,,,,,,,,,,,,,,,,,,,,,
2825996,260949626,16033203837,,,,,,,,,,,,,4947873109,260949626,16033203837,593989,260949626,16033203837,273190131,729884748,16033203857,,,,,,,,,,,,,,,,,,,,,
2826930,261076952,16041150357,,,,,,,,,,,,,4950331378,261076952,16041150357,594185,261076952,16041150357,273325872,730245711,16041150377,,,,,,,,,,,,,,,,,,,,,
2827863,261204320,16049099501,,,,,,,,,,,,,4952790462,261204320,16049099501,594382,261204320,16049099501,273461659,730606794,16049099521,,,,,,,,,,,,,,,,,,,,,
2828797,261331730,16057051272,,,,,,,,,,,,,4955250360,261331730,16057051272,594579,261331730,16057051272,273597490,730967996,16057051292,,,,,,,,,,,,,,,,,,,,,
2829731,261459180,16065005668,,,,,,,,,,,,,4957711072,261459180,16065005668,594776,261459180,16065005668,273733366,731329317,16065005688,,,,,,,,,,,,,,,,,,,,,
2830665,261586673,16072962692,,,,,,,,,,,,,4960172598,261586673,16072962692,594973,261586673,16072962692,273869287,731690757,16072962712,,,,,,,,,,,,,,,,,,,,,
2831599,261714206,16080922342,,,,,,,,,,,,,4962634939,261714206,16080922342,595170,261714206,16080922342,274005253,732052316,16080922362,,,,,,,,,,,,,,,,,,,,,
2832534,261841781,16088884619,,,,,,,,,,,,,4965098095,261841781,16088884619,595367,261841781,16088884619,274141264,732413994,16088884639,,,,,,,,,,,,,,,,,,,,,
2833469,261969398,16096849524,,,,,,,,,,,,,4967562066,261969398,16096849524,595564,261969398,16096849524,274277321,732775791,16096849544,,,,,,,,,,,,,,,,,,,,,
2834403,262097056,16104817058,,,,,,,,,,,,,4970026852,262097056,16104817058,595761,262097056,16104817058,274413422,733137707,16104817078,,,,,,,,,,,,,,,,,,,,,
2835338,262224755,16112787220,,,,,,,,,,,,,4972492453,262224755,16112787220,595959,262224755,16112787220,274549568,733499743,16112787240,,,,,,,,,,,,,,,,,,,,,
2836273,262352496,16120760011,,,,,,,,,,,,,4974958870,262352496,16120760011,596156,262352496,16120760011,274685759,733861897,16120760031,,,,,,,,,,,,,,,,,,,,,
2837208,262480278,16128735432,,,,,,,,,,,,,4977426102,262480278,16128735432,596353,262480278,16128735432,274821995,734224171,16128735452,,,,,,,,,,,,,,,,,,,,,
2838144,262608102,16136713483,,,,,,,,,,,,,4979894149,262608102,16136713483,596550,262608102,16136713483,274958277,734586564,16136713503,,,,,,,,,,,,,,,,,,,,,
2839079,262735968,16144694165,,,,,,,,,,,,,4982363012,262735968,16144694165,596747,262735968,16144694165,275094603,734949076,16144694185,,,,,,,,,,,,,,,,,,,,,
2840015,262863874,16152677477,,,,,,,,,,,,,4984832691,262863874,16152677477,596945,262863874,16152677477,275230974,735311707,16152677497,,,,,,,,,,,,,,,,,,,,,
2840951,262991823,16160663421,,,,,,,,,,,,,4987303187,262991823,16160663421,597142,262991823,16160663421,275367391,735674458,16160663441,,,,,,,,,,,,,,,,,,,,,
2841887,263119812,16168651996,,,,,,,,,,,,,4989774498,263119812,16168651996,597339,263119812,16168651996,275503852,736037328,16168652016,,,,,,,,,,,,,,,,,,,,,
2842823,263247844,16176643203,,,,,,,,,,,,,4992246625,263247844,16176643203,597537,263247844,16176643203,275640359,736400317,16176643223,,,,,,,,,,,,,,,,,,,,,
2843759,263375916,16184637044,,,,,,,,,,,,,4994719569,263375916,16184637044,597734,263375916,16184637044,275776910,736763426,16184637064,,,,,,,,,,,,,,,,,,,,,
2844696,263504031,16192633517,,,,,,,,,,,,,4997193329,263504031,16192633517,597932,263504031,16192633517,275913507,737126654,16192633537,,,,,,,,,,,,,,,,,,,,,
2845632,263632186,16200632623,,,,,,,,,,,,,4999667906,263632186,16200632623,598129,263632186,16200632623,276050149,737490001,16200632643,,,,,,,,,,,,,,,,,,,,,
2846569,263760384,16208634364,,,,,,,,,,,,,5002143300,263760384,16208634364,598327,263760384,16208634364,276186836,737853468,16208634384,,,,,,,,,,,,,,,,,,,,,
2847506,263888623,16216638739,,,,,,,,,,,,,5004619511,263888623,16216638739,598524,263888623,16216638739,276323568,738217054,16216638759,,,,,,,,,,,,,,,,,,,,,
2848443,264016903,16224645748,,,,,,,,,,,,,5007096538,264016903,16224645748,598722,264016903,16224645748,276460345,738580759,16224645768,,,,,,,,,,,,,,,,,,,,,
2849380,264145225,16232655393,,,,,,,,,,,,,5009574383,264145225,16232655393,598919,264145225,16232655393,276597168,738944584,16232655413,,,,,,,,,,,,,,,,,,,,,
2850317,264273589,16240667674,,,,,,,,,,,,,5012053046,264273589,16240667674,599117,264273589,16240667674,276734035,739308529,16240667694,,,,,,,,,,,,,,,,,,,,,
2851255,264401994,16248682590,,,,,,,,,,,,,5014532526,264401994,16248682590,599315,264401994,16248682590,276870948,739672592,16248682610,,,,,,,,,,,,,,,,,,,,,
2852193,264530440,16256700143,,,,,,,,,,,,,5017012823,264530440,16256700143,599512,264530440,16256700143,277007905,740036776,16256700163,,,,,,,,,,,,,,,,,,,,,
2853130,264658929,16264720333,,,,,,,,,,,,,5019493938,264658929,16264720333,599710,264658929,16264720333,277144908,740401079,16264720353,,,,,,,,,,,,,,,,,,,,,
2854068,264787459,16272743161,,,,,,,,,,,,,5021975871,264787459,16272743161,599908,264787459,16272743161,277281956,740765501,16272743181,,,,,,,,,,,,,,,,,,,,,
2855006,264916030,16280768626,,,,,,,,,,,,,5024458622,264916030,16280768626,600106,264916030,16280768626,277419050,741130043,16280768646,,,,,,,,,,,,,,,,,,,,,
2855945,265044643,16288796729,,,,,,,,,,,,,5026942191,265044643,16288796729,600304,265044643,16288796729,277556188,741494704,16288796749,,,,,,,,,,,,,,,,,,,,,
2856883,265173298,16296827472,,,,,,,,,,,,,5029426579,265173298,16296827472,600502,265173298,16296827472,277693372,741859486,16296827492,,,,,,,,,,,,,,,,,,,,,
2857822,265301994,16304860853,,,,,,,,,,,,,5031911785,265301994,16304860853,600699,265301994,16304860853,277830600,742224386,16304860873,,,,,,,,,,,,,,,,,,,,,
2858760,265430732,16312896874,,,,,,,,,,,,,5034397809,265430732,16312896874,600897,265430732,16312896874,277967874,742589407,16312896894,,,,,,,,,,,,,,,,,,,,,
2859699,265559511,16320935534,,,,,,,,,,,,,5036884652,265559511,16320935534,601095,265559511,16320935534,278105194,742954547,16320935554,,,,,,,,,,,,,,,,,,,,,
2860638,265688332,16328976835,,,,,,,,,,,,,5039372314,265688332,16328976835,601293,265688332,16328976835,278242558,743319806,16328976855,,,,,,,,,,,,,,,,,,,,,
2861578,265817195,16337020777,,,,,,,,,,,,,5041860795,265817195,16337020777,601491,265817195,16337020777,278379968,743685186,16337020797,,,,,,,,,,,,,,,,,,,,,
2862517,265946100,16345067361,,,,,,,,,,,,,5044350095,265946100,16345067361,601690,265946100,16345067361,278517423,744050685,16345067381,,,,,,,,,,,,,,,,,,,,,
2863457,266075046,16353116586,,,,,,,,,,,,,5046840214,266075046,16353116586,601888,266075046,16353116586,278654923,744416304,16353116606,,,,,,,,,,,,,,,,,,,,,
2864396,266204033,16361168453,,,,,,,,,,,,,5049331152,266204033,16361168453,602086,266204033,16361168453,278792468,744782042,16361168473,,,,,,,,,,,,,,,,,,,,,
2865336,266333063,16369222963,,,,,,,,,,,,,5051822910,266333063,16369222963,602284,266333063,16369222963,278930059,745147901,16369222983,,,,,,,,,,,,,,,,,,,,,
2866276,266462134,16377280115,,,,,,,,,,,,,5054315488,266462134,16377280115,602482,266462134,16377280115,279067695,745513879,16377280135,,,,,,,,,,,,,,,,,,,,,
2867216,266591247,16385339911,,,,,,,,,,,,,5056808885,266591247,16385339911,602680,266591247,16385339911,279205376,745879977,16385339931,,,,,,,,,,,,,,,,,,,,,
2868156,266720401,16393402351,,,,,,,,,,,,,5059303103,266720401,16393402351,602879,266720401,16393402351,279343102,746246195,16393402371,,,,,,,,,,,,,,,,,,,,,
2869097,266849597,16401467436,,,,,,,,,,,,,5061798140,266849597,16401467436,603077,266849597,16401467436,279480874,746612532,16401467456,,,,,,,,,,,,,,,,,,,,,
2870037,266978835,16409535165,,,,,,,,,,,,,5064293997,266978835,16409535165,603275,266978835,16409535165,279618691,746978990,16409535185,,,,,,,,,,,,,,,,,,,,,
2870978,267108115,16417605539,,,,,,,,,,,,,5066790675,267108115,16417605539,603474,267108115,16417605539,279756553,747345567,16417605559,,,,,,,,,,,,,,,,,,,,,
2871919,267237436,16425678559,,,,,,,,,,,,,5069288173,267237436,16425678559,603672,267237436,16425678559,279894461,747712265,16425678579,,,,,,,,,,,,,,,,,,,,,
2872860,267366799,16433754225,,,,,,,,,,,,,5071786492,267366799,16433754225,603871,267366799,16433754225,280032414,748079082,16433754245,,,,,,,,,,,,,,,,,,,,,
2873801,267496203,16441832538,,,,,,,,,,,,,5074285632,267496203,16441832538,604069,267496203,16441832538,280170412,748446019,16441832558,,,,,,,,,,,,,,,,,,,,,
2874743,267625650,16449913497,,,,,,,,,,,,,5076785592,267625650,16449913497,604268,267625650,16449913497,280308456,748813076,16449913517,,,,,,,,,,,,,,,,,,,,,
2875684,267755138,16457997104,,,,,,,,,,,,,5079286373,267755138,16457997104,604466,267755138,16457997104,280446545,749180254,16457997124,,,,,,,,,,,,,,,,,,,,,
2876626,267884668,16466083358,,,,,,,,,,,,,5081787976,267884668,16466083358,604665,267884668,16466083358,280584679,749547551,16466083378,,,,,,,,,,,,,,,,,,,,,
2877568,268014240,16474172261,,,,,,,,,,,,,5084290399,268014240,16474172261,604863,268014240,16474172261,280722859,749914968,16474172281,,,,,,,,,,,,,,,,,,,,,
2878510,268143853,16482263812,,,,,,,,,,,,,5086793644,268143853,16482263812,605062,268143853,16482263812,280861084,750282505,16482263832,,,,,,,,,,,,,,,,,,,,,
2879452,268273508,16490358012,,,,,,,,,,,,,5089297711,268273508,16490358012,605261,268273508,16490358012,280999354,750650162,16490358032,,,,,,,,,,,,,,,,,,,,,
2880394,268403205,16498454862,,,,,,,,,,,,,5091802599,268403205,16498454862,605459,268403205,16498454862,281137670,751017940,16498454882,,,,,,,,,,,,,,,,,,,,,
