HP,Damage
584.61T,73.86M
585.04T,73.91M
585.48T,73.96M
585.91T,74.01M
586.63T,74.13M
587.06T,74.18M
587.50T,74.23M
587.94T,74.29M
588.37T,74.34M
589.44T,74.54M
589.88T,74.59M
590.32T,74.64M
590.75T,74.69M
591.19T,74.74M
592.34T,74.90M
592.78T,74.95M
593.21T,75.00M
593.65T,75.06M
594.09T,75.11M
646.18T,76.44M
646.66T,76.49M
647.14T,76.55M
647.61T,76.60M
648.09T,76.65M
648.88T,76.77M
649.36T,76.83M
649.84T,76.88M
650.32T,76.93M
664.60T,77.76M
665.80T,77.96M
666.29T,78.02M
753.46T,80.41M
754.02T,80.47M
754.57T,80.53M
755.48T,80.65M
756.04T,80.71M
756.59T,80.76M
757.15T,80.82M
757.71T,80.87M
776.64T,81.26M
777.21T,81.32M
777.78T,81.37M
778.35T,81.43M
778.92T,81.48M
805.15T,82.43M
805.74T,82.48M
806.33T,82.54M
806.92T,82.60M
807.51T,82.65M
837.27T,83.29M
837.88T,83.34M
930.73T,83.40M
931.41T,83.46M
962.42T,84.35M
963.58T,84.48M
964.28T,84.54M
964.98T,84.60M
965.69T,84.66M
1.07q,84.71M
1.07q,84.94M
1.08q,84.99M
1.08q,85.05M
1.08q,85.11M
1.08q,85.17M
1.08q,85.34M
1.08q,85.40M
1.08q,85.46M
1.08q,85.52M
1.08q,85.58M
1.08q,85.80M
1.09q,85.86M
1.09q,85.92M
1.09q,85.98M
1.09q,86.04M
1.09q,86.17M
1.09q,86.23M
1.09q,86.29M
1.09q,86.35M
1.09q,86.40M
1.16q,87.06M
1.16q,87.12M
1.16q,87.18M
1.16q,87.24M
1.16q,87.30M
1.16q,87.43M
1.16q,87.49M
1.16q,87.55M
1.16q,87.61M
1.16q,87.67M
1.17q,88.01M
1.17q,88.07M
1.20q,89.01M
1.20q,89.07M
1.20q,89.13M
1.21q,89.27M
1.21q,89.33M
1.21q,89.39M
1.21q,89.45M
1.21q,89.51M
1.21q,89.74M
1.21q,89.80M
1.21q,89.86M
1.21q,89.92M
1.21q,89.98M
1.22q,90.12M
1.22q,90.18M
1.22q,90.24M
1.22q,90.30M
1.22q,90.36M
1.26q,91.05M
1.27q,91.11M
1.27q,91.17M
1.27q,91.23M
1.27q,91.30M
1.27q,91.48M
1.27q,91.54M
1.27q,91.60M
1.27q,91.67M
1.27q,91.73M
1.28q,91.96M
1.28q,92.03M
1.28q,92.09M
1.28q,92.15M
1.28q,92.21M
1.28q,92.35M
1.28q,92.41M
1.28q,92.47M
1.50q,96.27M
1.50q,96.33M
1.50q,96.58M
1.50q,96.64M
1.50q,96.71M
1.50q,96.77M
1.51q,96.84M
1.51q,96.98M
1.54q,98.02M
1.54q,98.08M
1.54q,98.15M
1.54q,98.21M
1.73q,101.25M
1.73q,101.32M
1.73q,101.38M
1.73q,101.45M
1.73q,101.52M
1.73q,101.67M
1.73q,101.74M
1.73q,101.81M
1.79q,102.89M
1.79q,102.96M
1.80q,103.23M
1.80q,103.29M
1.80q,103.36M
1.80q,103.43M
1.80q,103.50M
1.80q,103.66M
1.81q,103.72M
1.81q,103.79M
1.81q,103.86M
1.81q,103.93M
1.81q,104.19M
1.81q,104.26M
1.81q,104.33M
1.82q,104.40M
1.87q,105.52M
1.87q,105.73M
1.87q,105.80M
1.87q,105.87M
1.87q,105.94M
1.88q,106.01M
1.94q,106.81M
1.95q,106.88M
1.95q,106.95M
1.95q,107.02M
1.95q,107.09M
1.95q,107.25M
1.95q,107.32M
1.95q,107.39M
1.96q,107.46M
1.96q,107.53M
1.96q,107.80M
1.96q,107.87M
1.96q,107.94M
1.96q,108.02M
1.97q,108.09M
1.97q,108.25M
1.97q,108.32M
1.97q,108.39M
1.97q,108.46M
1.97q,108.53M
1.98q,108.93M
1.98q,109.01M
1.98q,109.08M
1.98q,109.15M
1.99q,109.22M
1.99q,109.38M
1.99q,109.45M
1.99q,109.53M
2.21q,109.60M
2.21q,109.67M
2.34q,110.49M
2.34q,110.57M
2.35q,110.64M
2.35q,110.71M
2.35q,110.78M
2.35q,110.95M
2.35q,111.02M
2.36q,111.09M
2.36q,111.16M
2.36q,111.24M
2.36q,111.52M
2.44q,112.70M
2.81q,118.42M
2.81q,118.49M
2.81q,118.57M
2.82q,118.80M
2.82q,118.88M
2.82q,118.96M
2.82q,119.04M
2.83q,119.11M
2.83q,119.41M
2.83q,119.49M
2.83q,119.56M
2.84q,119.64M
2.84q,119.72M
2.84q,119.90M
2.84q,119.97M
2.85q,120.05M
2.85q,120.13M
2.85q,120.21M
2.95q,121.11M
2.96q,121.19M
2.96q,121.27M
2.96q,121.34M
3.29q,121.42M
3.29q,121.60M
3.38q,122.90M
3.39q,122.98M
3.39q,123.05M
3.39q,123.13M
3.47q,123.68M
3.48q,123.76M
3.59q,125.08M
3.67q,126.42M
3.67q,126.50M
3.68q,126.68M
3.68q,126.76M
3.68q,126.84M
3.68q,126.93M
3.69q,127.01M
3.69q,127.32M
3.70q,127.40M
3.70q,127.49M
3.70q,127.57M
3.70q,127.65M
3.71q,127.83M
3.71q,127.92M
3.71q,128.00M
3.71q,128.08M
3.72q,128.16M
3.93q,129.12M
3.94q,129.20M
3.94q,129.29M
3.94q,129.37M
3.95q,129.45M
3.95q,129.70M
3.96q,129.79M
3.96q,129.87M
3.96q,129.95M
3.96q,130.04M
3.97q,130.35M
3.97q,130.44M
3.98q,130.52M
4.50q,134.52M
4.50q,134.61M
4.50q,134.80M
4.51q,134.89M
4.51q,134.98M
4.51q,135.06M
4.52q,135.15M
4.52q,135.48M
4.53q,135.56M
4.53q,135.65M
4.53q,135.74M
4.54q,135.82M
4.54q,136.02M
4.54q,136.11M
4.55q,136.19M
4.55q,136.28M
4.55q,136.37M
4.73q,137.54M
4.73q,137.63M
4.73q,137.72M
4.74q,137.80M
4.89q,139.27M
4.90q,139.47M
4.90q,139.56M
4.90q,139.65M
4.91q,139.74M
4.91q,139.82M
4.92q,140.16M
4.92q,140.25M
4.93q,140.34M
4.93q,140.43M
4.93q,140.52M
4.94q,140.72M
4.94q,140.81M
4.94q,140.90M
5.08q,142.40M
5.09q,142.49M
5.09q,142.83M
5.10q,142.92M
5.10q,143.01M
5.10q,143.10M
5.11q,143.19M
5.12q,143.47M
5.12q,143.56M
5.12q,143.65M
5.13q,143.74M
5.13q,143.83M
5.43q,144.90M
5.43q,144.99M
5.44q,145.08M
5.44q,145.17M
5.45q,145.26M
5.45q,145.47M
5.45q,145.56M
5.46q,145.65M
5.46q,145.74M
5.47q,145.84M
5.47q,146.19M
5.48q,146.28M
5.48q,146.37M
5.49q,146.46M
5.49q,146.55M
5.50q,146.76M
5.68q,148.32M
6.31q,148.41M
6.31q,148.51M
6.31q,148.60M
7.07q,155.43M
7.08q,155.52M
7.08q,155.62M
7.09q,155.72M
7.09q,155.82M
7.10q,156.04M
7.10q,156.13M
7.11q,156.23M
7.11q,156.33M
7.12q,156.43M
7.54q,159.16M
7.54q,159.26M
7.55q,159.36M
7.55q,159.46M
7.56q,159.56M
7.56q,159.78M
7.57q,159.88M
7.57q,159.98M
7.58q,160.08M
7.58q,160.18M
7.60q,160.56M
7.60q,160.66M
7.61q,160.76M
7.61q,160.86M
7.62q,160.96M
7.63q,161.26M
7.63q,161.36M
7.64q,161.46M
7.64q,161.56M
7.65q,161.66M
7.66q,162.05M
7.67q,162.15M
7.67q,162.25M
7.68q,162.35M
7.68q,162.45M
7.69q,162.68M
7.70q,162.78M
7.95q,164.51M
7.95q,164.61M
7.96q,164.71M
8.65q,167.59M
8.66q,167.69M
8.66q,167.79M
8.67q,167.90M
8.67q,168.00M
8.68q,168.24M
8.69q,168.34M
8.70q,168.44M
8.70q,168.55M
8.71q,168.65M
8.73q,169.24M
8.74q,169.34M
8.75q,169.45M
8.75q,169.55M
8.76q,169.66M
8.77q,169.89M
8.77q,170.00M
8.78q,170.10M
8.78q,170.21M
8.79q,170.31M
8.80q,170.71M
8.81q,170.82M
8.81q,170.92M
8.82q,171.03M
8.83q,171.13M
8.84q,171.37M
8.84q,171.48M
8.85q,171.58M
8.85q,171.69M
8.86q,171.79M
9.18q,173.06M
9.19q,173.16M
9.20q,173.27M
9.20q,173.37M
9.21q,173.48M
9.22q,173.80M
10.24q,173.91M
10.25q,174.01M
10.26q,174.12M
10.26q,174.23M
10.28q,174.63M
10.29q,174.74M
10.29q,174.85M
10.30q,174.95M
10.31q,175.06M
10.32q,175.30M
10.32q,175.41M
10.33q,175.52M
10.34q,175.62M
10.34q,175.73M
10.70q,177.90M
10.70q,178.01M
10.71q,178.12M
10.72q,178.23M
10.72q,178.34M
10.73q,178.58M
10.74q,178.69M
10.75q,178.80M
10.76q,178.91M
10.76q,179.01M
11.65q,180.67M
11.66q,180.78M
11.67q,180.89M
11.67q,181.00M
11.68q,181.10M
11.69q,181.35M
11.70q,181.46M
11.71q,181.57M
11.72q,181.68M
11.72q,181.79M
11.74q,182.21M
11.75q,182.32M
12.07q,184.26M
12.08q,184.37M
12.09q,184.48M
12.10q,184.73M
12.11q,184.85M
12.37q,186.81M
12.38q,186.92M
12.39q,187.03M
14.47q,195.02M
14.48q,195.14M
14.49q,195.26M
14.50q,195.37M
14.51q,195.49M
14.53q,195.85M
14.54q,195.97M
14.55q,196.08M
14.56q,196.20M
14.57q,196.32M
15.10q,197.76M
15.11q,197.88M
15.12q,197.99M
15.13q,198.11M
15.14q,198.23M
15.16q,198.50M
16.84q,198.62M
16.85q,198.74M
16.86q,198.86M
16.87q,198.98M
16.90q,199.44M
16.91q,199.56M
16.92q,199.68M
16.93q,199.80M
16.94q,199.92M
16.96q,200.19M
16.97q,200.31M
16.98q,200.43M
16.99q,200.55M
17.00q,200.67M
17.05q,201.35M
17.06q,201.47M
17.07q,201.59M
17.08q,201.71M
17.09q,201.83M
17.11q,202.10M
17.12q,202.22M
17.13q,202.34M
17.14q,202.46M
17.15q,202.58M
18.16q,204.06M
18.17q,204.18M
18.18q,204.31M
18.19q,204.43M
18.20q,204.55M
18.22q,204.83M
18.23q,204.95M
18.25q,205.07M
18.26q,205.19M
18.27q,205.31M
18.30q,205.78M
18.31q,205.90M
18.32q,206.03M
18.33q,206.15M
20.73q,212.46M
20.76q,212.84M
20.77q,212.97M
20.79q,213.09M
20.80q,213.22M
20.81q,213.35M
20.85q,213.83M
20.86q,213.96M
20.87q,214.08M
20.89q,214.21M
22.15q,218.65M
22.17q,218.94M
22.19q,219.07M
22.20q,219.20M
22.22q,219.33M
22.23q,219.46M
23.04q,221.06M
23.06q,221.19M
23.07q,221.32M
23.09q,221.45M
23.10q,221.58M
23.13q,221.87M
23.14q,222.01M
23.15q,222.14M
23.17q,222.27M
23.18q,222.40M
24.50q,227.98M
24.51q,228.12M
24.53q,228.25M
25.33q,230.67M
25.34q,230.81M
25.37q,231.11M
25.39q,231.25M
25.40q,231.39M
25.42q,231.52M
25.43q,231.66M
25.47q,232.18M
25.49q,232.32M
25.50q,232.45M
25.52q,232.59M
25.54q,232.73M
25.56q,233.03M
25.58q,233.17M
25.59q,233.31M
25.61q,233.45M
25.63q,233.58M
27.12q,235.28M
27.14q,235.42M
27.16q,235.55M
27.17q,235.69M
27.76q,238.19M
27.81q,238.61M
27.82q,238.75M
27.84q,238.89M
27.86q,239.03M
27.88q,239.17M
27.92q,239.70M
27.94q,239.84M
27.95q,239.98M
27.97q,240.12M
27.99q,240.26M
28.02q,240.58M
28.03q,240.72M
28.05q,240.86M
28.07q,241.00M
28.09q,241.14M
28.13q,241.68M
28.15q,241.82M
28.16q,241.96M
28.18q,242.10M
28.20q,242.24M
28.23q,242.56M
28.24q,242.70M
28.26q,242.85M
28.28q,242.99M
28.30q,243.13M
29.37q,245.15M
29.39q,245.29M
29.41q,245.43M
29.43q,245.57M
29.44q,245.72M
29.47q,246.04M
30.28q,248.64M
30.30q,248.79M
33.66q,248.93M
33.68q,249.08M
33.73q,249.63M
33.75q,249.77M
33.77q,249.92M
33.79q,250.06M
33.81q,250.21M
33.85q,250.54M
33.87q,250.68M
33.89q,250.83M
33.91q,250.97M
33.93q,251.12M
33.98q,251.67M
34.00q,251.82M
34.02q,251.96M
34.04q,252.11M
34.06q,252.25M
37.87q,252.69M
37.89q,252.84M
37.92q,252.98M
39.16q,255.66M
39.18q,255.81M
41.47q,257.66M
41.50q,257.80M
41.52q,257.95M
41.55q,258.10M
41.57q,258.25M
41.61q,258.59M
42.97q,261.32M
43.00q,261.47M
43.02q,261.62M
43.05q,261.77M
43.12q,262.35M
43.14q,262.50M
43.17q,262.65M
43.19q,262.80M
43.22q,262.95M
43.26q,263.29M
43.29q,263.45M
43.32q,263.60M
43.34q,263.75M
43.37q,263.90M
44.42q,264.95M
44.44q,265.10M
44.47q,265.25M
44.50q,265.40M
44.52q,265.55M
44.57q,265.90M
44.60q,266.05M
44.62q,266.20M
44.65q,266.35M
44.68q,266.50M
46.31q,268.42M
46.34q,268.58M
46.37q,268.73M
46.39q,268.88M
46.42q,269.04M
46.47q,269.38M
46.50q,269.54M
46.52q,269.69M
46.55q,269.85M
46.58q,270.00M
46.65q,270.59M
46.68q,270.74M
46.71q,270.90M
46.73q,271.05M
46.76q,271.21M
46.84q,271.67M
46.86q,271.83M
46.89q,271.98M
48.18q,274.86M
48.21q,275.01M
48.28q,275.61M
49.32q,278.53M
49.35q,278.68M
49.38q,278.84M
49.41q,279.00M
49.46q,279.36M
49.49q,279.52M
49.52q,279.67M
49.55q,279.83M
49.58q,279.99M
52.47q,282.00M
52.50q,282.16M
52.53q,282.32M
52.56q,282.48M
52.60q,282.64M
52.65q,283.00M
52.68q,283.16M
52.71q,283.32M
52.74q,283.48M
52.77q,283.64M
52.92q,284.55M
52.96q,284.71M
52.99q,284.87M
53.02q,285.03M
53.05q,285.20M
53.10q,285.56M
53.14q,285.72M
53.17q,285.88M
53.20q,286.04M
53.23q,286.20M
53.31q,286.82M
53.34q,286.98M
53.37q,287.14M
53.40q,287.31M
53.44q,287.47M
53.49q,287.83M
53.52q,288.00M
53.55q,288.16M
53.59q,288.32M
55.33q,291.37M
57.35q,293.45M
57.39q,293.62M
59.26q,296.72M
59.30q,296.89M
59.33q,297.06M
59.43q,297.56M
59.46q,297.72M
59.50q,297.89M
59.53q,298.06M
59.57q,298.23M
59.66q,298.87M
59.69q,299.03M
59.73q,299.20M
59.76q,299.37M
59.80q,299.54M
59.86q,299.92M
59.89q,300.08M
59.93q,300.25M
59.96q,300.42M
60.00q,300.59M
60.09q,301.23M
60.12q,301.40M
60.16q,301.57M
60.19q,301.74M
60.23q,301.90M
60.29q,302.29M
60.32q,302.45M
60.36q,302.62M
60.39q,302.79M
60.43q,302.96M
84.70q,332.94M
84.75q,333.13M
84.80q,333.32M
84.85q,333.50M
84.90q,333.69M
84.98q,334.11M
85.03q,334.29M
85.08q,334.48M
85.13q,334.66M
85.18q,334.85M
85.31q,335.56M
85.36q,335.75M
85.41q,335.93M
85.46q,336.12M
94.91q,336.31M
107.36q,346.83M
107.42q,347.02M
107.48q,347.22M
107.55q,347.41M
107.61q,347.60M
107.76q,348.34M
107.83q,348.53M
107.89q,348.73M
107.96q,348.92M
108.02q,349.11M
108.18q,349.69M
108.25q,349.89M
108.31q,350.08M
108.37q,350.27M
108.44q,350.47M
112.40q,352.97M
112.46q,353.16M
112.53q,353.36M
112.59q,353.55M
112.66q,353.75M
112.77q,354.19M
112.83q,354.38M
112.90q,354.58M
115.33q,358.32M
115.40q,358.52M
128.28q,359.28M
128.35q,359.47M
128.43q,359.67M
128.50q,359.87M
128.58q,360.07M
128.70q,360.52M
128.78q,360.71M
128.85q,360.91M
128.93q,361.11M
129.00q,361.31M
129.36q,362.43M
129.43q,362.63M
151.02q,377.45M
151.11q,377.66M
151.19q,377.87M
151.34q,378.34M
151.43q,378.54M
151.52q,378.75M
151.60q,378.96M
151.69q,379.17M
160.52q,381.86M
160.61q,382.07M
160.71q,382.28M
160.80q,382.49M
160.89q,382.70M
161.05q,383.17M
166.30q,387.22M
166.40q,387.43M
166.49q,387.64M
166.59q,387.85M
166.83q,388.67M
166.92q,388.88M
171.48q,392.98M
171.58q,393.20M
171.68q,393.41M
171.94q,394.06M
172.04q,394.27M
172.14q,394.49M
172.24q,394.70M
172.34q,394.92M
172.59q,395.75M
172.68q,395.96M
172.78q,396.18M
172.88q,396.39M
172.98q,396.61M
173.15q,397.10M
173.25q,397.31M
173.35q,397.53M
173.45q,397.75M
173.55q,397.96M
179.88q,400.79M
179.98q,401.00M
180.08q,401.22M
180.19q,401.44M
180.29q,401.66M
180.46q,402.15M
180.57q,402.37M
180.67q,402.59M
180.78q,402.80M
180.88q,403.02M
185.20q,404.54M
185.31q,404.76M
185.42q,404.98M
185.52q,405.20M
185.63q,405.41M
185.80q,405.91M
185.91q,406.13M
186.02q,406.35M
186.12q,406.57M
186.23q,406.79M
186.49q,407.63M
186.60q,407.85M
186.71q,408.07M
186.81q,408.29M
186.92q,408.51M
187.10q,409.01M
187.21q,409.23M
187.31q,409.45M
187.42q,409.68M
187.53q,409.90M
198.43q,412.80M
198.55q,413.02M
198.66q,413.24M
198.77q,413.47M
198.89q,413.69M
199.18q,414.36M
199.30q,414.58M
199.41q,414.81M
199.53q,415.03M
199.64q,415.25M
199.92q,416.11M
200.03q,416.33M
200.15q,416.56M
200.26q,416.78M
200.38q,417.01M
206.96q,421.69M
207.08q,421.91M
207.20q,422.14M
207.32q,422.37M
207.43q,422.59M
207.72q,423.46M
207.84q,423.69M
207.96q,423.92M
208.08q,424.14M
213.75q,428.61M
218.43q,433.43M
218.56q,433.66M
218.68q,433.89M
218.81q,434.12M
218.93q,434.35M
227.20q,437.85M
227.33q,438.08M
227.46q,438.32M
252.62q,438.55M
252.76q,438.79M
253.00q,439.32M
253.14q,439.55M
253.28q,439.79M
253.43q,440.02M
253.57q,440.26M
262.04q,445.57M
262.19q,445.81M
262.34q,446.04M
262.49q,446.28M
262.64q,446.52M
262.88q,447.06M
263.03q,447.29M
263.18q,447.53M
263.33q,447.77M
263.48q,448.01M
263.84q,448.92M
263.99q,449.16M
264.14q,449.40M
264.29q,449.64M
264.44q,449.88M
264.83q,450.60M
264.97q,450.84M
265.12q,451.08M
265.27q,451.32M
265.42q,451.56M
280.85q,454.74M
281.01q,454.98M
281.17q,455.22M
281.32q,455.47M
281.48q,455.71M
281.74q,456.25M
281.90q,456.50M
282.06q,456.74M
282.22q,456.98M
282.38q,457.22M
282.77q,458.15M
282.92q,458.39M
283.08q,458.64M
283.24q,458.88M
283.40q,459.12M
283.66q,459.67M
283.82q,459.91M
283.98q,460.16M
284.14q,460.40M
284.30q,460.64M
300.20q,471.97M
300.37q,472.22M
300.54q,472.46M
300.71q,472.71M
300.88q,472.96M
301.15q,473.53M
301.32q,473.78M
301.49q,474.03M
301.66q,474.28M
301.83q,474.53M
312.82q,477.86M
313.00q,478.11M
313.17q,478.36M
313.35q,478.62M
313.52q,478.87M
313.81q,479.44M
322.35q,484.49M
322.53q,484.74M
332.99q,489.84M
333.18q,490.10M
333.63q,491.09M
333.82q,491.35M
370.75q,491.61M
370.95q,491.86M
371.16q,492.12M
371.70q,492.90M
371.90q,493.16M
372.11q,493.42M
372.32q,493.68M
372.53q,493.93M
373.03q,494.93M
373.24q,495.19M
373.45q,495.45M
373.66q,495.70M
373.86q,495.96M
374.20q,496.55M
374.41q,496.81M
374.62q,497.07M
374.83q,497.33M
375.04q,497.59M
396.82q,501.08M
397.04q,501.34M
397.26q,501.60M
397.48q,501.87M
397.70q,502.13M
398.06q,502.72M
398.28q,502.98M
398.50q,503.24M
398.72q,503.51M
398.94q,503.77M
399.98q,505.26M
400.20q,505.52M
408.80q,510.84M
409.02q,511.11M
422.31q,516.49M
422.70q,517.10M
477.91q,532.88M
478.17q,533.16M
478.44q,533.44M
478.70q,533.72M
479.35q,534.78M
479.61q,535.06M
479.88q,535.34M
480.14q,535.62M
480.41q,535.89M
480.84q,536.52M
481.11q,536.80M
481.37q,537.08M
481.64q,537.36M
481.90q,537.64M
499.44q,541.40M
499.72q,541.68M
499.99q,541.96M
500.27q,542.24M
500.54q,542.52M
501.26q,543.37M
501.53q,543.65M
501.81q,543.93M
502.09q,544.21M
502.36q,544.50M
503.04q,545.58M
503.31q,545.86M
503.59q,546.14M
503.87q,546.42M
504.14q,546.71M
504.60q,547.34M
504.87q,547.63M
505.15q,547.91M
518.89q,553.67M
519.17q,553.96M
519.87q,555.06M
520.15q,555.34M
577.68q,555.63M
578.00q,555.92M
578.32q,556.20M
578.84q,556.85M
579.15q,557.14M
579.47q,557.42M
579.79q,557.71M
580.10q,558.00M
627.48q,562.79M
647.80q,568.71M
648.15q,569.00M
648.50q,569.29M
648.86q,569.59M
649.44q,570.25M
649.79q,570.54M
650.15q,570.83M
650.50q,571.13M
650.86q,571.42M
651.72q,572.54M
652.08q,572.84M
652.43q,573.13M
652.79q,573.43M
653.14q,573.72M
653.73q,574.38M
654.08q,574.68M
654.44q,574.97M
654.79q,575.27M
655.15q,575.56M
656.02q,576.69M
656.38q,576.99M
656.74q,577.28M
657.09q,577.58M
657.45q,577.87M
658.38q,578.77M
658.74q,579.06M
659.09q,579.36M
659.45q,579.65M
659.81q,579.95M
683.81q,583.99M
684.18q,584.29M
684.55q,584.59M
684.92q,584.89M
685.29q,585.18M
685.90q,585.86M
686.27q,586.16M
686.64q,586.46M
687.02q,586.76M
687.39q,587.05M
688.30q,588.20M
688.67q,588.50M
689.04q,588.80M
689.42q,589.10M
689.79q,589.40M
690.40q,590.08M
690.77q,590.38M
691.15q,590.68M
713.57q,596.89M
713.95q,597.19M
715.77q,598.91M
716.15q,599.22M
716.54q,599.52M
716.93q,599.83M
717.31q,600.13M
717.95q,600.82M
718.33q,601.12M
718.72q,601.43M
719.11q,601.73M
734.52q,608.06M
797.80q,618.41M
798.23q,618.72M
798.66q,619.04M
799.09q,619.35M
799.52q,619.66M
800.22q,620.37M
800.65q,620.69M
801.08q,621.00M
801.51q,621.31M
801.94q,621.63M
803.00q,622.84M
803.43q,623.15M
803.86q,623.47M
804.29q,623.78M
804.72q,624.10M
805.85q,625.05M
806.28q,625.36M
806.71q,625.68M
807.14q,625.99M
807.57q,626.31M
808.63q,627.52M
809.06q,627.84M
809.50q,628.15M
809.93q,628.47M
944.81q,654.13M
945.64q,654.87M
946.14q,655.20M
946.65q,655.53M
947.15q,655.86M
947.66q,656.19M
982.11q,660.75M
982.64q,661.08M
983.16q,661.41M
983.68q,661.74M
984.21q,662.08M
985.07q,662.83M
985.60q,663.16M
986.12q,663.49M
986.65q,663.83M
987.17q,664.16M
1.10Q,693.95M
1.11Q,694.30M
1.11Q,694.64M
1.11Q,694.99M
1.23Q,695.34M
1.23Q,696.13M
1.23Q,696.48M
1.23Q,696.82M
1.23Q,697.17M
1.23Q,697.52M
1.23Q,698.86M
1.23Q,699.21M
1.24Q,699.56M
1.24Q,699.91M
1.24Q,700.26M
1.24Q,701.05M
1.24Q,701.40M
1.24Q,701.75M
1.24Q,702.10M
1.24Q,702.45M
1.31Q,707.32M
1.31Q,707.67M
1.31Q,708.03M
1.31Q,708.38M
1.32Q,708.73M
1.32Q,709.80M
1.32Q,710.15M
1.32Q,710.51M
1.32Q,710.86M
1.32Q,711.21M
1.32Q,712.57M
1.47Q,712.93M
1.51Q,720.42M
1.51Q,720.77M
1.51Q,721.13M
1.51Q,721.94M
1.51Q,722.30M
1.51Q,722.66M
1.51Q,723.02M
1.51Q,723.38M
1.52Q,724.76M
1.52Q,725.12M
1.57Q,732.73M
1.57Q,733.10M
1.57Q,733.46M
1.57Q,734.29M
1.57Q,734.65M
1.57Q,735.01M
1.57Q,735.38M
1.57Q,735.74M
1.63Q,741.50M
1.63Q,741.87M
1.63Q,742.23M
1.63Q,742.60M
1.63Q,742.97M
1.64Q,743.80M
1.64Q,744.17M
1.64Q,744.54M
1.64Q,744.91M
1.64Q,745.27M
1.64Q,746.69M
1.64Q,747.06M
1.64Q,747.43M
1.64Q,747.80M
1.64Q,748.16M
1.65Q,749.00M
1.68Q,756.86M
1.74Q,764.81M
1.74Q,765.19M
1.74Q,765.56M
1.74Q,767.01M
1.74Q,767.39M
1.74Q,767.77M
1.74Q,768.15M
1.74Q,768.53M
1.75Q,769.67M
1.75Q,770.05M
1.75Q,770.43M
1.75Q,770.81M
1.75Q,771.19M
1.85Q,776.51M
1.85Q,776.89M
1.85Q,777.27M
1.85Q,777.65M
1.85Q,778.03M
1.86Q,778.90M
1.86Q,779.28M
1.86Q,779.66M
1.86Q,780.05M
1.86Q,780.43M
1.86Q,781.90M
1.86Q,782.28M
1.86Q,782.67M
1.87Q,783.05M
1.87Q,783.44M
1.87Q,784.30M
2.15Q,823.92M
2.43Q,849.06M
2.43Q,849.47M
2.43Q,849.89M
2.49Q,852.78M
2.49Q,853.19M
2.49Q,853.61M
2.49Q,854.03M
2.56Q,862.99M
2.56Q,863.94M
2.56Q,864.37M
2.57Q,864.79M
2.57Q,865.21M
2.57Q,865.63M
2.66Q,871.59M
2.66Q,872.02M
2.66Q,872.44M
2.67Q,872.87M
2.67Q,873.30M
2.67Q,874.26M
2.67Q,874.69M
2.67Q,875.11M
2.67Q,875.54M
2.67Q,875.96M
2.68Q,877.60M
2.68Q,878.03M
2.68Q,878.46M
2.68Q,878.89M
2.68Q,879.31M
2.69Q,880.61M
2.69Q,881.03M
2.69Q,881.46M
2.69Q,881.89M
2.69Q,882.32M
2.70Q,883.97M
2.70Q,884.40M
2.70Q,884.83M
2.70Q,885.26M
2.70Q,885.69M
2.70Q,886.66M
2.79Q,895.96M
2.79Q,896.39M
2.79Q,896.83M
2.80Q,897.26M
2.96Q,903.43M
2.96Q,903.87M
2.96Q,904.31M
2.96Q,904.74M
2.96Q,905.18M
2.97Q,906.17M
2.97Q,906.61M
2.97Q,907.05M
2.97Q,907.49M
2.97Q,907.93M
3.07Q,919.53M
3.08Q,919.97M
3.08Q,920.42M
3.08Q,920.86M
3.08Q,921.30M
3.08Q,922.31M
3.08Q,922.76M
3.09Q,923.20M
3.09Q,923.65M
3.09Q,924.09M
3.09Q,925.81M
3.09Q,926.25M
3.10Q,926.70M
3.10Q,927.15M
3.10Q,927.59M
3.10Q,928.61M
3.10Q,929.05M
3.11Q,929.50M
3.11Q,929.95M
3.11Q,930.39M
3.58Q,936.78M
3.58Q,937.23M
3.58Q,937.68M
3.66Q,947.51M
3.66Q,947.97M
3.66Q,949.34M
3.76Q,959.30M
3.76Q,959.76M
3.77Q,960.22M
3.77Q,960.68M
3.77Q,962.45M
3.77Q,962.92M
3.78Q,963.38M
3.78Q,963.84M
3.78Q,964.30M
3.78Q,965.35M
4.20Q,965.81M
4.20Q,966.27M
4.21Q,966.74M
4.21Q,967.20M
4.21Q,968.98M
4.21Q,969.45M
4.22Q,969.91M
4.22Q,970.37M
4.22Q,970.84M
4.22Q,971.89M
4.23Q,972.35M
4.23Q,972.82M
4.23Q,973.28M
4.23Q,973.75M
4.72Q,1.00B
4.72Q,1.00B
4.73Q,1.00B
4.73Q,1.00B
4.73Q,1.00B
4.73Q,1.01B
4.74Q,1.01B
4.74Q,1.01B
4.74Q,1.01B
4.74Q,1.01B
4.75Q,1.01B
4.75Q,1.01B
4.75Q,1.01B
4.76Q,1.01B
4.76Q,1.01B
4.76Q,1.01B
4.77Q,1.01B
4.77Q,1.01B
4.77Q,1.01B
4.77Q,1.01B
4.78Q,1.02B
4.78Q,1.02B
4.78Q,1.02B
4.79Q,1.02B
4.79Q,1.02B
4.79Q,1.02B
4.80Q,1.02B
4.80Q,1.02B
4.80Q,1.02B
4.80Q,1.02B
5.14Q,1.04B
5.14Q,1.04B
5.14Q,1.04B
5.31Q,1.05B
5.31Q,1.05B
5.31Q,1.05B
